medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	dementia
295671015	"[x]dementia in alzheimer's dis, atypical or mixed type"	Eu002	Eu00200	26929004	45046017	1
295672010	"[x]dementia in alzheimer's disease, unspecified"	Eu00z	Eu00z00	26929004	45046017	1
299325013	[x]other alzheimer's disease	Fyu30	Fyu3000	26929004	45046017	1
363021000006113	[x]alzheimer's dementia unspec	Eu00z-1	Eu00z11	26929004	45046017	1
363031000006111	[x]alzheimer's disease type 1	Eu001-1	Eu00111	416975007	2957137018	1
363041000006118	[x]alzheimer's disease type 2	Eu000-3	Eu00013	416780008	2957119019	1
376531000006119	[x]dementia in alzheimer's disease with early onset	Eu000	Eu00000	416780008	2957119019	1
376541000006112	[x]dementia in alzheimer's disease with late onset	Eu001	Eu00100	416975007	2957137018	1
3802621000006119	lewy body variant of alzheimer's disease	^ESCTLE380262		80098002	132894011	1
423351000006115	"[x]presenile dementia,alzheimer's type"	Eu000-1	Eu00011	416780008	2957138011	1
423381000006111	"[x]primary degen dementia of alzheimer's type, senile onset"	Eu001-3	Eu00113	416975007	2957137018	1
423391000006114	"[x]primary degen dementia, alzheimer's type, presenile onset"	Eu000-2	Eu00012	416780008	2957119019	1
425901000006116	"[x]senile dementia,alzheimer's type"	Eu001-2	Eu00112	416975007	2957124016	1
45046017	alzheimer's disease	F110	F110.00	26929004	45046017	1
499946014	alzheimer's disease with early onset	F1100	F110000	416780008	2957141019	1
500317011	alzheimer's disease with late onset	F1101	F110100	416975007	2957124016	1
6897211000006117	"primary degenerative dementia of the alzheimer type, presenile onset"	^ESCTPR689721		416780008	2549310013	1
6897221000006113	"primary degenerative dementia of the alzheimer type, early onset"	^ESCTPR689722		416780008	2553939016	1
6897241000006118	dementia of the alzheimers type with early onset	^ESCTDE689724		416780008	2957133019	1
6897251000006116	"presenile dementia, alzheimer's type"	^ESCTPR689725		416780008	2957138011	1
6897271000006114	dementia in alzheimer's disease - type 2	^ESCTDE689727		416780008	2957156011	1
6900181000006114	"primary degenerative dementia of the alzheimer type, senile onset"	^ESCTPR690018		416975007	2549518019	1
6900191000006112	"primary degenerative dementia of the alzheimer type, late onset"	^ESCTPR690019		416975007	2554010014	1
6900201000006110	"dementia of the alzheimers type, late onset"	^ESCTDE690020		416975007	2957123010	1
6900221000006117	"sdat - senile dementia, alzheimer's type"	^ESCTSD690022		416975007	2957134013	1
6900241000006112	dementia in alzheimer's disease - type 1	^ESCTDE690024		416975007	2957155010	1
905791000006115	[rfc] alzheimer's disease	HNG0062		905791000006104	905791000006115	1
914951000006114	[d] dementia in alzheimer's disease	EMISNQDD3		914951000006105	914951000006114	1
