medcodeid	term
12188321000006110	Neuroendocrine tumour
1219467016	Malignant neoplasm, overlapping lesion of nasopharynx
1219468014	Malignant neoplasm, overlapping lesion of larynx
1219531013	Malignant overlapping lesion of tongue
1219533011	Malignant neoplasm, overlapping lesion of floor of mouth
1219534017	Malignant neoplasm, overlapping lesion of stomach
1219535016	Malignant neoplasm, overlapping lesion of small intestine
1219537012	Malignant neoplasm, overlapping lesion of biliary tract
1219538019	Malignant neoplasm, overlapping lesion of pancreas
1219540012	Malignant neoplasm, overlapping lesion of penis
1219545019	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
1219789016	[M]Bronchiolo-alveolar adenocarcinoma
1219790013	[M]Pseudomyxoma peritonei
12201281000006111	Malignant mixed mesodermal tumor
12201291000006114	Malignant mixed mesodermal tumour
1220205018	Neurofibroma
1220352014	[M]Mesoblastic nephroma
1220414014	Hodgkin's disease, nodular sclerosis
12204961000006112	Metastatic colorectal cancer
1220814017	[M]AngiocentricT-cell lymphoma
1220816015	[M]Acute progressive histiocytosis X
1220817012	[M]Letterer - Siwe disease
1220818019	[M]Acute infancy reticulosis
1220820016	[M]True histiocytic lymphoma
1220821017	[M]Myelosclerosis with myeloid metaplasia
1220823019	[M]Serous cystadenoma, borderline malignancy
1220825014	[M]Papillary cystadenoma, borderline malignancy
1220826010	[M]Papillary serous cystadenoma, borderline malignancy
1221109014	[M]Hodgkin's disease
1221143017	Post-radiotherapy hypopituitarism
1221171011	Malignant neuroleptic syndrome
1221209015	[M] Hepatocellular carcinoma, fibrolamellar
1221241014	[M]Subependymal giant cell astrocytoma
1221282014	[M]Myxoid leiomyosarcoma
1221446018	[M]Acral lentiginous melanoma, malignant
1221504012	[M]Carcinoma in pleomorphic adenoma
1222102015	[M]Queyrat's erythroplasia
1222167011	Ca cardia - stomach
1222168018	Ca pylorus - stomach
1222169014	Ca fundus - stomach
1222170010	Ca Body - stomach
1222176016	Ca larynx - supraglottis
1222177013	Ca ribs/sternum/clavicle
1222182018	[M]Invasive hydatidiform mole
1222183011	[M]Chorioadenoma
1222184017	[M]Chorioadenoma destruens
1222189010	Ca ovary/other uterine adnexa
1222216017	[M]Follicular carcinoma
1222219012	[M]Lymphocytic lymphoma NOS
1222220018	[M]Lymphocytic lymphosarcoma NOS
1222221019	[M]Lymphoblastic lymphoma NOS
1222222014	[M]Germinoblastic sarcoma NOS
12222311000006112	Malignant pleural mesothelioma
1222289015	[M]Malignant lymphoma, lymphoplasmacytoid type
12222981000006116	History of cancer
1222303015	[M]Teratoma, malignant, NOS
1222626017	[M]Small cell-large cell carcinoma
1222660012	[M]Osteosarcoma NOS
1224870013	[M]Hepatocellular carcinoma NOS
1225763012	[M] Cutaneous lymphoma
1225879015	[M]Myxosarcoma
1226380017	[M]Adenofibroma NOS
1227295013	Multiple endocrine neoplasia syndrome type 1
1227435013	[M]Vipoma
1227517019	[M]Nephroblastoma NOS
1227518012	[M]Adenosarcoma
1227548010	[V]Prophylactic antibiotic
1227549019	[V]Chemoprophylaxis
1227552010	[V]Personal history of malignant neoplasm of intestine
1227553017	[V]Personal history of malignant neoplasm of stomach
1227554011	[V]Personal history of malignant neoplasm of rectum
1227555012	[V]Personal history of malignant neoplasm of anus
1227556013	[V]Personal history of malignant neoplasm of tongue
1227557016	[V]Personal history of malignant neoplasm of large intestine
1227558014	[V]Personal history of malignant neoplasm of liver
1227559018	[V]Personal history of malignant neoplasm of bronchus
1227560011	[V]Personal history of malignant neoplasm of lung
1227561010	[V]Personal history of malignant neoplasm of trachea
1227562015	[V]Personal history of malignant neoplasm of middle ear
1227563013	[V]Personal history of malignant neoplasm - accessory sinus
1227564019	[V]Personal history of malignant neoplasm of larynx
1227565018	[V]Personal history of malignant neoplasm of nose
1227566017	[V]Personal history of malignant neoplasm of testis
1227568016	[V]Personal history of malignant neoplasm of uterine body
1227569012	[V]Personal history of malignant neoplasm of prostate
1227571012	[V]Personal history of malignant neoplasm of ovary
1227572017	[V]Personal history of malignant neoplasm of cervix uteri
1227573010	[V]Personal history of malignant neoplasm of bladder
1227574016	[V]Personal history of malignant neoplasm of kidney
1227575015	[V]Personal history of Hodgkin's disease
1227576019	[V]Personal history of lymphosarcoma
1227577011	[V]Personal history of reticulosarcoma
1227579014	[V]Personal history of malignant neoplasm of skin
1227580012	[V]Personal history of malignant neoplasm of bone
1227581011	[V]Personal history of malignant neoplasm of brain
1227582016	[V]Personal history of malignant neoplasm of thyroid
1227583014	[V]Personal history of malignant neoplasm of eye
1228188010	Basal cell adenocarcinoma
1228259019	[M]Infiltrating duct and lobular carcinoma
1228267010	[M]Granulocytic sarcoma
1228268017	[M]Chloroma
1228269013	[M]Myeloid sarcoma
1228349017	[M]Haemangiopericytoma NOS
1228493018	Malignant neoplasm of cervix uteri
1228504019	Malignant neoplasm of upper lip, vermilion border
1228506017	Malignant neoplasm of lower lip, lipstick area
1228509012	Malignant neoplasm of posterior third of tongue
1228510019	Malignant neoplasm of major salivary glands
1228513017	Malignant neoplasm of submandibular gland
1228523014	Malignant neoplasm of roof of mouth
1228529013	Malignant neoplasm of palatine tonsil
1228530015	Malignant neoplasm of faucial tonsil
1228532011	Malignant neoplasm of roof of nasopharynx
1228537017	Ca hepatic flexure - colon
1228538010	Ca transverse colon
1228539019	Ca descending colon
1228540017	Ca sigmoid colon
1228541018	Ca ascending colon
1228542013	Ca splenic flexure - colon
1228543015	Ca rectosigmoid junction
1228549016	Malignant neoplasm of retroperitoneum
1228552012	Malignant neoplasm of nasal cavities
1228553019	Malignant neoplasm of ethmoid sinus
1228557018	Ca larynx - subglottis
1228565015	Malignant neoplasm of soft tissue of head
1228566019	Malignant neoplasm of soft tissue of face
1228567011	Malignant neoplasm of soft tissue of neck
1228570010	Cancer of ovary
1228575017	Malignant neoplasm of prepuce (foreskin)
1229372013	[M]Linitis plastica
1229424011	[M]Lipid-rich carcinoma
1229453012	[M]Astrocytoma NOS
1229491012	[M]Hodgkin's disease, nodular sclerosis, cellular phase
1229513011	[M]Intraepidermal epithelioma of Jadassohn
1229572014	[M]Malignant melanoma, regressing
1229592019	[M]Craniopharyngioma
1229648010	[M]Malignant lymphoma, centroblastic type, follicular
1229767019	[M]Hodgkin's disease, mixed cellularity
1229774012	[M] Angiocentric immunoproliferative lesion
1229971014	[M]Pulmonary blastoma
1230100013	[M]Malignant melanoma in Hutchinson's melanotic freckle
1230106019	[M]Mesenchymomas
1230127012	[M]Chorioepithelioma
1230128019	[M]Choriocarcinoma
1230234015	[M]Subependymoma
1230392016	[M]Malignant lymphoma, large cell, diffuse NOS
1230406012	[M]Hodgkin's sarcoma
1230440012	[M]Adenocarcinoma in multiple adenomatous polyps
1230709016	[M]Adenocarcinoma in situ in villous adenoma
1230735015	[M]Sezary's disease
1230800010	[M]Kaposi's sarcoma
1230828016	[M]Malignant lymphoma, mixed small and large cell, diffuse
1230838014	[M]Malignant mastocytosis
1230882017	[M] Merkel cell carcinoma
1231004013	[M]Adenocarcinoma in situ in tubulovillous adenoma
1231028010	[M]Desmoplastic melanoma, malignant
1231089017	[M]Combined hepatocellular carcinoma and cholangiocarcinoma
1231220012	Radiotherapy procedures
1231231016	[M]Pancreatoblastoma
1231237017	[M]Fibrosarcoma NOS
1231363012	[M]Paget's disease and intraductal carcinoma of breast
1231370012	[M]Sebaceous adenocarcinoma
1231413015	[M] T-gamma lymphoproliferative disease
1231451015	[M]Osteoblastoma
1231541019	[M]Plasma cell myeloma
1231544010	[M] Neuroendocrine carcinoma
1231622010	[M]Adenocarcinoma in tubulovillous adenoma
1231760012	[M]Angiomyxoma
1231927019	[M]Trichoepithelioma
1231967018	[M]Squamous cell carcinoma in situ NOS
1231976013	[M]Small cell carcinoma, intermediate cell
1232066010	[M]Adenocarcinoma in situ in adenomatous polyp
1232189017	[M]Hutchinson's melanotic freckle
1232355013	[M] Pigmented dermatofibrosarcoma protuberans
1232370014	Falciparum malaria - malignant
1232438010	[M]Synovioma NOS
1232439019	[M]Synovial sarcoma NOS
1232482018	[M]Lipoblastomatosis
1232564019	[M]Intraductal papillary adenocarcinoma with invasion
1232576019	[M]Malignant lymphoma, small lymphocytic NOS
1232889015	[M]Mucinous cystadenoma NOS
1232905013	[M]Dedifferentiated liposarcoma
1233222010	[M]Carcinomatosis
1233285010	[M]Hodgkin,s disease, lymphocytic predominance, nodular
1233353010	[M]Hodgkin's disease, lymphocytic depletion, reticular type
1233457010	Melanotic Schwannoma
1233536016	[M]Gangliocytic paraganglioma
1233711012	[M]Hodgkin's granuloma
1233722011	[M]Glycogen-rich carcinoma
1233806015	[M]Apudoma
1234006011	Dermatofibrosarcoma protuberans
1234144017	Polyneuropathy in malignant disease
1234193010	Melanoma in situ
1234197011	[M]Malignant lymphoma, immunoblastic type
1234296013	[M]Pleomorphic xanthoastrocytoma
1234619014	[M]Von Recklinghausen's disease
1234620015	[M]Neurofibromatosis NOS
1234621016	[M]Multiple neurofibromatosis
1234787012	[M]Rhabdoid sarcoma
1234836015	[M] Angioimmunoblastic lymphadenopathy
1234884012	[M]Chondromatosis NOS
1235052014	[M]Phaeochromocytoma NOS
1235115011	[M]Neoplasm, uncertain whether benign or malignant
1235152011	[M]Cystic mesothelioma
1235290011	[M]Giant cell sarcoma (except of bone)
1235301017	[M]Juvenila melanoma
1235321016	[M]Alveolar soft part sarcoma
1235762013	Carcinoma in situ of skin of forehead skin
1235785014	Malignant melanoma of external surface of cheek
1235786010	Malignant melanoma of eyebrow
1235798017	Malignant melanoma of external surface of nose
1235814012	Secondary malignant neoplasm of bone and bone marrow
1235875018	Secondary malignant neoplasm of peritoneum
1235891015	Ca liver - primary
1235961012	[M]Epithelial-myoepithelial carcinoma
123978016	Mantle cell lymphoma
12449811000006113	Osteoma
12450991000006117	Teratoma of descended testis
12455741000006118	[M] Monocytoid B-cell lymphoma
12455761000006119	[M]Acute lymphoid leukaemia
12455781000006112	[M]Basal cell neoplasms
12455811000006114	[M]Ependymoma NOS
12455831000006115	[M]Hodgkin's disease, nodular sclerosis NOS
12455841000006113	[M]Papillary neoplasms
12455871000006117	[M]Seminomas
12457051000006114	[V]Chemotherapy follow-up
12458171000006119	[V]Follow-up examination after chemotherapy for other conditions
12458201000006115	[V]Follow-up examination after radiotherapy for other conditions
12458831000006112	[V]Maintenance chemotherapy
12459651000006111	[V]Personal history of malignant neoplasm of other respiratory or intrathoracic organ
12459661000006113	[V]Personal history of malignant neoplasm
12459671000006118	[V]Personal history of malignant neoplasm - accessory sinus
12459681000006115	[V]Personal history of malignant neoplasm of breast
12459691000006117	[V]Personal history of malignant neoplasm of larynx
12459701000006117	[V]Personal history of malignant neoplasm of middle ear
12459711000006119	[V]Personal history of malignant neoplasm of nose
12459741000006115	[V]Personal history of non-neoplastic breast disease
12460301000006119	[V]Radiotherapy follow-up
12473091000006110	Malignant tumor of female genital organ
12473411000006113	[X]Need for other prophylactic chemotherapy
12477161000006113	[X]Other chemotherapy
12482201000006111	Admit radiotherapy emergency
12483411000006119	Cervical smear - severe dyskaryosis ? invasive carcinoma
12483441000006115	Cervical smear - ? glandular neoplasia
12489011000006112	H/O: * leukaemia
12489031000006118	H/O: * urinary system
12489381000006119	Post-operartive chemotherapy
126918018	Lymphoma stage II
126941000006114	Congenital sternomastoid tumour
12702541000006115	Secondary and unspec malig neop of superficial parotid LN
12702551000006118	Secondary and unspec malig neop superfic tracheobronchial LN
12702801000006115	Acute panmyelosis with myelofibrosis
12702811000006117	Hairy cell leukaemia
12702821000006113	Acute megakaryoblastic leukaemia
12702831000006111	[M]Subependymal astrocytoma NOS
12702841000006118	[M]Wilms' tumour
12703551000006113	Carcinoma in situ of urinary tract proper
12703771000006114	Primary malignant neoplasm of skin
12704571000006117	Mastocytosis
12704581000006119	Malignant tumour of posterior margin of nasal septum and choanae
12704591000006116	Malignant neoplasm skin of other and unspecified parts face
12704601000006112	Malignant tumour of upper labial mucosa
12704881000006116	Hodgkin's paragranuloma
12716091000006116	Superficial or orthovoltage treatment for radiotherapy
12716281000006114	Primary malignant neoplasm of intrahepatic bile ducts
12716541000006118	Progress of radiotherapy
12716551000006116	Radiotherapy progress NOS
12716931000006116	Malignant neoplasm of long bones of leg
12718191000006116	[M]Carcinoma, metastatic, NOS
12718821000006112	Malignant neoplasm of skin of trunk, excluding scrotum
12718971000006119	Malignant neoplasm of ovary and other uterine adnexa
12718981000006116	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck
12719081000006110	Malignant neoplasm of lip, oral cavity and pharynx NOS
12719091000006113	Malignant neoplasm of lesser curve of stomach unspecified
12719101000006119	Malignant neoplasm of greater curve of stomach unspecified
12719901000006117	Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure
12719911000006119	Radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure
12720651000006110	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
12720971000006112	Leukaemia NOS
12721091000006119	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
12721101000006113	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
12721211000006117	Other malignant neoplasm of lymphoid and histiocytic tissue
12721241000006118	Malignant neoplasm of skin NOS
12721271000006114	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
12721361000006112	Secondary and unspecified malignant neoplasm of lymph nodes in multiple sites
12721371000006117	Secondary and unspecified malignant neoplasm of lymph nodes NOS
12721381000006119	Malignant neoplasm of other and unspecified site NOS
12721521000006111	Immunoproliferative neoplasm or myeloma NOS
12722951000006118	Malignant neoplasm of other and ill-defined sites
12723261000006118	Secondary malignant neoplasm of other digestive organ
12723281000006111	Malignant melanoma of skin NOS
12723331000006119	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
12723471000006112	Malignant neoplasm of female breast NOS
12723521000006110	Malignant neoplasm of larynx NOS
12724381000006116	Leukaemia of unspecified cell type
12724391000006118	Acute leukaemia NOS
12724401000006116	Chronic leukaemia NOS
12724411000006118	Subacute leukaemia NOS
