medcodeid	term
1974761000006115	Mental & behav dis due to use tobacco: psychotic disorder, predominantly depressive symptoms
1974791000006111	Mental & behav dis due to use tobacco: psychotic disorder, predominantly manic symptoms
1974811000006110	Mental & behav dis due to use tobacco: psychotic disorder, mixed
1974841000006114	Mental & behav dis due to tobacco: resid & late-onset psychot dis, flashbacks
1974871000006118	Mental & behav dis due to tobacco: resid & late-onset psychot dis, personality or behaviour disorder
1974911000006115	Mental & behav dis due to tobacco: resid & late-onset psychot dis, residual affective disorder
1974931000006114	Mental & behav dis due to tobacco: resid & late-onset psychot dis, dementia
1974961000006117	Mental & behav dis due to tobacco: resid & late-onset psychot dis, other persisting cognitive impairment
1974981000006110	Mental & behav dis due to tobacco: resid & late-onset psychot dis, late-onset psychotic disorder
1979471000006116	Nicotine replacement therapy using nicotine nasal spray
1979481000006118	Nicotine replacement therapy using nicotine mouth spray
1979491000006115	Smoking cessation follow-up
2141561000000115	Smoking cessation drug therapy declined
216212011	Smoking reduced
21681000000118	Anti-smoking monitoring admin.
21691000000116	Anti-smoking monitoring administration
2170961000000116	Waterpipe tobacco consumption
2203381000000113	Smoking cessation 12 week follow-up
2251871000000112	Referral to smoking cessation service declined
2251911000000114	Referral to smoking cessation service
2265711000000117	Electronic cigarette user
2336091000000117	Ex user of electronic cigarette
2462391000000119	Varenicline smoking cessation therapy declined
2462431000000110	Varenicline smoking cessation therapy offered
2474719011	Minutes from waking to first tobacco consumption
250363016	Ex-trivial cigarette smoker (<1/day)
250364010	Ex-light cigarette smoker (1-9/day)
250365011	Ex-moderate cigarette smoker (10-19/day)
250366012	Ex-heavy cigarette smoker (20-39/day)
250367015	Ex-very heavy cigarette smoker (40+/day)
250368013	Keeps trying to stop smoking
250370016	Tobacco consumption unknown
250371017	Ex-smoker - amount unknown
250372012	Trying to give up smoking
250373019	Stopped smoking
250374013	Current non-smoker
250375014	Rolls own cigarettes
250385010	Date ceased smoking
250387019	Tobacco consumption NOS
25281000000119	Stop smoking clinic administration
263570019	Maternal tobacco abuse
265092010	Pregnancy smoking advice
2669652019	Smoking started
2670126018	Smoking restarted
285792013	Monitoring of smoking cessation therapy refused
285793015	Stop smoking monitor default
285805010	Stop smoking monitoring delete
295256013	Tobacco dependence, unspecified
295257016	Tobacco dependence, continuous
295258014	Tobacco dependence, episodic
295259018	Tobacco dependence in remission
295260011	Tobacco dependence NOS
295951010	Nicotine-induced organic mental disorder
2982426011	Provision of smoking cessation leaflet
298701000000114	History of tobacco use
303501000000115	Smoking cessation advice provided by community pharmacist
324597019	Toxic effect of tobacco and nicotine
338608011	Smoking cessation advice
342443012	Smokes drugs
342444018	Smokes drugs in cigarette form
342445017	Smokes drugs through a pipe
342574011	Total time smoked
344793011	Cigarette consumption
344794017	Cigar consumption
344795016	Pipe tobacco consumption
37311000006117	Other anti-smoking drug given
397181000006117	[X]Mental and behavioural disorders due to use of tobacco: residual and late-onset psychotic disorder
397271000006110	[X]Mental and behavioural disorders due to use of tobacco: other mental and behavioural disorders
397281000006113	[X]Mental and behavioural disorders due to use of tobacco: withdrawal state with delirium
397461000006119	[X]Mental and behavioural disorders due to use of tobacco: unspecified mental and behavioural disorder
397671000006112	[X]Mental and behavioural disorders due to use of tobacco: acute intoxication
397681000006110	[X]Mental and behavioural disorders due to use of tobacco: psychotic disorder
397732011	Never smoked tobacco
397733018	Occasional smoker
397911000006114	[X]Mental and behavioural disorders due to use of tobacco: harmful use
397971000006117	[X]Mental and behav dis due to use tobacco: amnesic syndrome
397981000006119	[X]Mental and behav dis due to use tobacco: dependence syndr
397991000006116	[X]Mental and behavioural disorders due to use of tobacco: withdrawal state
408878014	Fagerstrom Test for Nicotine Dependence total score
418914010	Ex-cigarette smoker
457286014	Nicotine replacement therapy
459484017	Nicotine replacement therapy refused
459524018	Over the counter nicotine replacement therapy
459722017	Referral to stop-smoking clinic
460127014	Pack years
460828018	Tobacco user
461114016	Counselling about tobacco use
482771000000118	Smoking cessation drug therapy
482791000000119	Nicotine replacement therapy using nicotine patch
482811000000118	Nicotine replacement therapy using nicotine gum
482831000000114	Nicotine replacement therapy using nicotine inhalator
482851000000119	Nicotine replacement therapy using nicotine lozenge
482871000000111	Other specified smoking cessation therapy
489931000000114	Smoking cessation therapy NOS
492511000000117	Smoking cessation therapy
498831000006118	Attends stop smoking monitoring
503483019	Current smoker
604961000006114	Current Smoker NOS
62881000000117	DNA - Did not attend smoking cessation clinic
649821000006115	Ex-cigar smoker
649831000006117	Ex-pipe smoker
649841000006110	Ex-smoker
649851000006112	Ex- Rolled Tobacco Smoker
649861000006114	Ex-Cigarette Smoker
67621000006112	Very heavy cigarette smoker (40+ cigs/day)
700121000006118	Moderate cigarette smoker (10-19 cigs/day)
72373013	Passive smoker
736241000000116	Smoking cessation enhanced services administration
743331000006116	Light cigarette smoker (1-9 cigs/day)
78013015	Smokers' cough
818061000006111	Smoking cessation education
819331000006110	Heavy cigarette smoker (20-39 cigs/day)
852111000006118	Gradual smoking reduction
852121000006114	Smoking cessation-maintain abstinence
852131000006112	Smoking cessation-practice nurse support
852981000006111	Rolls own cigarettes
853001000006110	Ex-smoker NOS
854021000006115	Cigarette smoker
854051000006112	Ex-pipe smoker
854071000006119	Current smoker
854111000006110	Past smoker
854151000006111	Date stopped smoking
854951000006113	Grade A non-smoker
854961000006110	Grade B light smoker (1-10/day)
854981000006117	Grade C moderate smoker (11-20/day)
855001000006114	Grade D heavy smoker (>20 Day)
88471000006112	Trivial cigarette smoker (less than one cigarette/day)
903041000006110	EX-Smoker NOS
903051000006112	Tobacco Consumption Nil
903981000006117	Not interested in stopping smoking
904001000006111	Ready to stop smoking
904021000006118	Previous smoking quit attempts
904031000006115	Thinking about stopping smoking
904041000006113	Waking time to first cigarette
904071000006117	Smoking cessation 4 week follow up
904081000006119	Smoking cessation 52 week follow up
904091000006116	Date of last cigarette
904111000006113	Carbon monoxide validation confirms non-smoker
904121000006117	Carbon monoxide validation confirms smoker
904141000006112	Smoking cessation 4 week F/U not completed
904151000006114	Smoking cessation 4 week F/U completed
904161000006111	Smoking cessation 52 week F/U completed
904171000006116	Smoking cessation 52 week F/U not completed
904181000006118	Smoking cessation counselling
904191000006115	Smoking cessation motivation score
904201000006117	Smoking cessation confidence score
904211000006119	Smoking cessation service patient satisfaction score
904221000006110	Smoking cessation bupropion therapy
904231000006113	Smoking cessation counselling by telephone
904241000006115	Smoking cessation counselling in person
909391000006117	[RFC] Smoking cessation
923201000006112	Pregnancy smoking advice
923611000006113	Health ed. - smoking
936011000006114	Advice on effects of smoking on health
961581000006114	Smokes/uses tobacco products
983101000006113	Misuse of Nicotine
99639019	Cigar smoker
998861000006112	Nicotine replacement therapy provided by community pharmacist
