"searchterms","exclusionterms","searched_in_column","searchmethod"
"Oilatum lotion",,,
"Oilatum Plus bath additive",,,
"Ovelle Cetomacrogol cream (Formula A)",,,
"Ovelle emulsifying ointment",,,
"Ovelle Petroleum jelly white",,,
"petrolatum",,,
"Polytar Emollient",,,
"Propolis cream",,,
"Propylene glycol 20% / Lactic acid 3% in Gen Unguentum M crm",,,
"Propylene glycol 20% / Lactic acid 5% in Gen Unguentum M crm",,,
"Propylene glycol 20% in Aqueous cream",,,
"Propylene glycol 25% in Aqueous cream",,,
"Propylene glycol 30% in Generic Unguentum M cream",,,
"Propylene glycol 40% in Aqueous cream",,,
"Propylene glycol 40% in Clobetasone 0.05% cream",,,
"Propylene glycol 40% in Generic Unguentum M cream",,,
"Propylene glycol 50% in Aqueous cream",,,
"Propylene glycol 60% in Aqueous cream",,,
"Pure Health Liquid Paraffin 50% in White Soft Paraffin ointment",,,
"Pure Health Liquid Paraffin/White Soft Paraffin",,,
"QV 5% skin lotion",,,
"QV cream",,,
"QV Gentle wash",,,
"QV Intensive ointment",,,
"R1 gel 6g sachets",,,
"R2 lotion 1g sachets",,,
"SensiCare emollient cream",,,
"Skin Salvation bath oil",,,
"Skin Salvation daily moisturising cream",,,
"Skin Salvation intensive hand cream",,,
"Skin Salvation ointment",,,
"Sodium pidolate 2.5% cream",,,
"Soffen cream",,,
"Sudocrem antiseptic healing cream",,,
"Tena 3 in 1 wash cream",,,
"The 50:50 Ointment",,,
"Thirty:30 ointment",,,
"Ultrabase",,,
"Ultrabase cream",,,
"Ultraveen Intensive Balm",,,
"Ultraveen Itch Relief cream",,,
"Ultraveen Moisturising cream",,,
"Ultraveen Very Dry Skin cream",,,
"Unguentum M cream",,,
"Vaseline Dermacare cream",,,
"Vaseline Dermacare lotion",,,
"Vaseline Pure Petroleum jelly",,,
"Vivaderm Daily cream",,,
"Vivaderm Ultra cream",,,
"White lotion",,,
"White soft paraffin",,,
"White soft paraffin 13.2% /Liquid paraffin light 10.5% cream",,,
"White soft paraffin 15% / Dimeticone 1% cream",,,
"White soft paraffin 15% / Liquid paraffin 6% cream",,,
"White soft paraffin 15% / Liquid paraffin light 6% cream",,,
"White soft paraffin 50% / Liquid paraffin 50% ointment",,,
"White soft paraffin 62.5% / Liquid paraffin 37.5% ointment",,,
"White soft paraffin 75% / Liquid paraffin 25% ointment",,,
"White soft paraffin 95% / Liquid paraffin 5% ointment",,,
"White soft paraffin solid",,,
"Wool fat solid",,,
"Yellow soft paraffin solid",,,
"ZeroAQS emollient cream",,,
"Zerobase 11% cream",,,
"Zerocream",,,
"Zeroderm ointment",,,
"Zerodouble gel",,,
"Zeroguent cream",,,
"Zerolatum Emollient bath additive",,,
"Zerolatum Plus bath additive",,,
"Zeroveen cream",,,
