ProdCodeId	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues	potency
931341000033116	Modrasone 0.05% ointment (Teva UK Ltd)	Modrasone 0.05% ointment	Ointment	Cutaneous	Alclometasone dipropionate	500.000microgram/1.000gram		50000	moderate
959041000033116	Nerisone 0.1% cream (Meadow Laboratories Ltd)	Nerisone 0.1% cream	Cream	Cutaneous	Diflucortolone valerate	1.000mg/1.000gram		20000	potent
963441000033116	Nerisone 0.1% oily cream (Meadow Laboratories Ltd)	Nerisone 0.1% oily cream	Cream	Cutaneous	Diflucortolone valerate	1.000mg/1.000gram		80000	potent
963541000033115	Nerisone Forte 0.3% oily cream (Meadow Laboratories Ltd)	Nerisone Forte 0.3% oily cream	Cream	Cutaneous	Diflucortolone valerate	3.000mg/1.000gram		20000	very potent
963641000033119	Nerisone Forte 0.3% ointment (Meadow Laboratories Ltd)	Nerisone Forte 0.3% ointment	Ointment	Cutaneous	Diflucortolone valerate	3.000mg/1.000gram		7000	very potent
963841000033118	Nerisone 0.1% ointment (Meadow Laboratories Ltd)	Nerisone 0.1% ointment	Ointment	Cutaneous	Diflucortolone valerate	1.000mg/1.000gram		6000	potent
1112741000033119	Propaderm 0.025% cream (GlaxoSmithKline UK Ltd)	Propaderm 0.025% cream	Cream	Cutaneous	Beclometasone dipropionate	250.000microgram/1.000gram		80000	potent
1124741000033118	Propaderm 0.025% ointment (GlaxoSmithKline UK Ltd)	Propaderm 0.025% ointment	Ointment	Cutaneous	Beclometasone dipropionate	250.000microgram/1.000gram		100000	potent
1124941000033115	Propaderm-A  Ointment							10000	potent
1147941000033113	Quinoderm With Hydrocortisone  Cream							4000	mild
1399441000033111	Synalar C cream (Reig Jofre UK Ltd)	Synalar C cream	Cream	Cutaneous	Clioquinol/ Fluocinolone acetonide	30.000mg/1.000gram + 250.000microgram/1.000gram		30000	potent
1399541000033112	Synalar 0.025% cream (Reig Jofre UK Ltd)	Synalar 0.025% cream	Cream	Cutaneous	Fluocinolone acetonide	250.000microgram/1.000gram		200000	potent
1399741000033116	Synalar N cream (Reig Jofre UK Ltd)	Synalar N cream	Cream	Cutaneous	Fluocinolone acetonide/ Neomycin sulfate	250.000microgram/1.000gram + 5.000mg/1.000gram		20000	potent
1399841000033114	Synalar 1 in 4 Dilution 0.00625% cream (Reig Jofre UK Ltd)	Synalar 1 in 4 Dilution 0.00625% cream	Cream	Cutaneous	Fluocinolone acetonide	62.500microgram/1.000gram		70000	moderate
1399941000033118	Synalar 1 in 10 Dilution 0.0025% cream (Reig Jofre UK Ltd)	Synalar 1 in 10 Dilution 0.0025% cream	Cream	Cutaneous	Fluocinolone acetonide	25.000microgram/1.000gram		30000	mild
1400241000033112	Synalar 0.025% gel (Reig Jofre UK Ltd)	Synalar 0.025% gel	Gel	Cutaneous	Fluocinolone acetonide	250.000microgram/1.000gram		300000	potent
1402141000033116	Synalar 0.025% ointment (Reig Jofre UK Ltd)	Synalar 0.025% ointment	Ointment	Cutaneous	Fluocinolone acetonide	250.000microgram/1.000gram		100000	potent
1402241000033111	Synalar C ointment (Reig Jofre UK Ltd)	Synalar C ointment	Ointment	Cutaneous	Clioquinol/ Fluocinolone acetonide	30.000mg/1.000gram + 250.000microgram/1.000gram		20000	potent
1402341000033118	Synalar N ointment (Reig Jofre UK Ltd)	Synalar N ointment	Ointment	Cutaneous	Fluocinolone acetonide/ Neomycin sulfate	250.000microgram/1.000gram + 5.000mg/1.000gram		20000	potent
1402441000033112	Synalar 1 in 4 Dilution 0.00625% ointment (Reig Jofre UK Ltd)	Synalar 1 in 4 Dilution 0.00625% ointment	Ointment	Cutaneous	Fluocinolone acetonide	62.500microgram/1.000gram		50000	moderate
1415341000033111	Terra-Cortril Nystatin cream (Pfizer Ltd)	Terra-Cortril Nystatin cream	Cream	Cutaneous	Hydrocortisone/ Nystatin/ Oxytetracycline calcium	10.000mg/1.000gram + 100000.000iu/1.000gram + 30.000mg/1.000gram		20000	mild
1421741000033116	Terra-Cortril ointment (Esteve Pharmaceuticals Ltd)	Terra-Cortril ointment	Ointment	Cutaneous	Hydrocortisone/ Oxytetracycline hydrochloride	10.000mg/1.000gram + 30.000mg/1.000gram		90000	mild
1437341000033114	Timodine cream (Alliance Pharmaceuticals Ltd)	Timodine cream	Cream	Cutaneous	Benzalkonium chloride/ Dimeticone 350/ Hydrocortisone/ Nystatin	1.000mg/1.000gram + 100.000mg/1.000gram + 5.000mg/1.000gram + 100000.000unit/1.000gram + 100000.000unit/1.000gram		3000000	mild
1456341000033111	Triamcinolone  Cream  0.1 %							2000	potent
1456641000033115	Trimovate cream (Ennogen Healthcare Ltd)	Trimovate cream	Cream	Cutaneous	Clobetasone butyrate/ Nystatin/ Oxytetracycline calcium	500.000microgram/1.000gram + 100000.000unit/1.000gram + 100000.000unit/1.000gram + 30.000mg/1.000gram		2000000	moderate
1463441000033119	Triamcinolone  Ointment  0.1 %							900	potent
1463741000033114	Trimovate  Ointment							20000	moderate
1482941000033115	Ultralanum Plain cream (Meadow Laboratories Ltd)	Ultralanum Plain cream	Cream	Cutaneous	Fluocortolone hexanoate/ Fluocortolone pivalate	2.500mg/1.000gram + 2.500mg/1.000gram		10000	moderate
1484341000033113	Ultralanum Plain ointment (Meadow Laboratories Ltd)	Ultralanum Plain ointment	Ointment	Cutaneous	Fluocortolone/ Fluocortolone hexanoate	2.500mg/1.000gram + 2.500mg/1.000gram		10000	moderate
1515541000033112	Vioform-Hydrocortisone cream (Novartis Consumer Health UK Ltd)	Vioform-Hydrocortisone cream	Cream	Cutaneous	Clioquinol/ Hydrocortisone	30.000mg/1.000gram + 10.000mg/1.000gram		100000	mild
1521141000033113	Vioform-Hydrocortisone ointment (Novartis Consumer Health UK Ltd)	Vioform-Hydrocortisone ointment	Ointment	Cutaneous	Clioquinol/ Hydrocortisone	30.000mg/1.000gram + 10.000mg/1.000gram		70000	mild
1845541000033115	Hydrocortisone 1% / Clotrimazole 1% cream							4000000	mild
1846141000033117	Betamethasone valerate 0.1% / Fusidic acid 2% cream	Betamethasone valerate 0.1% / Fusidic acid 2% cream	Cream	Cutaneous	Betamethasone valerate/ Fusidic acid	1.000mg/1.000gram + 20.000mg/1.000gram	13040000	3000000	potent
1846241000033112	Hydrocortisone acetate 1% / Fusidic acid 2% cream	Hydrocortisone acetate 1% / Fusidic acid 2% cream	Cream	Cutaneous	Fusidic acid/ Hydrocortisone acetate	20.000mg/1.000gram + 10.000mg/1.000gram	13040000	2000000	mild
1846441000033113	Hydrocortisone 1% / Miconazole 2% cream	Hydrocortisone 1% / Miconazole 2% cream	Cream	Cutaneous	Hydrocortisone/ Miconazole nitrate	10.000mg/1.000gram + 20.000mg/1.000gram	13040000	5000000	mild
1846541000033114	Hydrocortisone 1% / Miconazole 2% ointment	Hydrocortisone 1% / Miconazole 2% ointment	Ointment	Cutaneous	Hydrocortisone/ Miconazole nitrate	10.000mg/1.000gram + 20.000mg/1.000gram	13040000	1000000	mild
2017641000033118	Betamethasone dipropionate 0.05% scalp lotion	Betamethasone dipropionate 0.05% scalp lotion	Liquid	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000ml	13040000	20000	potent
2104641000033116	Betamethasone dipropionate 0.05% cream	Betamethasone dipropionate 0.05% cream	Cream	Cutaneous	Betamethasone dipropionate	500.000microgram/1.000gram	13040000	80000	potent
2613041000033114	Canesten Hydrocortisone cream (Bayer Plc)	Canesten Hydrocortisone cream	Cream	Cutaneous	Clotrimazole/ Hydrocortisone acetate	10.000mg/1.000gram + 10.000mg/1.000gram		40000	mild
2616841000033111	Eurax Hc cream (Thornton & Ross Ltd)	Eurax Hc cream	Cream	Cutaneous	Crotamiton/ Hydrocortisone	100.000mg/1.000gram + 2.500mg/1.000gram		100000	mild
2967941000033118	Eumovate Eczema and Dermatitis 0.05% cream (GlaxoSmithKline Consumer Healthcare UK Ltd)	Eumovate Eczema and Dermatitis 0.05% cream	Cream	Cutaneous	Clobetasone butyrate	500.000microgram/1.000gram		6000	moderate
3080841000033112	Beclometasone 0.025% cream	Beclometasone 0.025% cream	Cream	Cutaneous	Beclometasone dipropionate	250.000microgram/1.000gram	13040000	30000	potent
3080941000033116	Beclometasone 0.025% ointment	Beclometasone 0.025% ointment	Ointment	Cutaneous	Beclometasone dipropionate	250.000microgram/1.000gram	13040000	30000	potent
