ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
454341000033116	3.49151E+15	Diprobase ointment (Bayer Plc)	Diprobase ointment	Ointment	Cutaneous	Liquid paraffin/ White soft paraffin	50.000mg/1.000gram + 950.000mg/1.000gram		1000000
492641000033111	5.45211E+14	E45 cream (Karo Pharma)	E45 cream	Cream	Cutaneous	Liquid paraffin light/ White soft paraffin/ Wool fat	126.000mg/1.000gram + 145.000mg/1.000gram + 10.000mg/1.000gram		10000000
513441000033110	4.24511E+14	Emulsiderm emollient (Dermal Laboratories Ltd)	Emulsiderm emollient	Bath additive	Cutaneous	Benzalkonium chloride/ Isopropyl myristate/ Liquid paraffin	5.000mg/1.000gram + 250.000mg/1.000gram + 250.000mg/1.000gram		600000
513541000033111	1.46083E+16	Emulsifying ointment	Emulsifying ointment	Ointment	Cutaneous	Emulsifying wax/ Liquid paraffin/ White soft paraffin	300.000mg/1.000gram + 200.000mg/1.000gram + 500.000mg/1.000gram	13020100	2000000
530541000033113	1.41611E+14	Epaderm ointment (Molnlycke Health Care Ltd)	Epaderm ointment	Ointment		Emulsifying wax/ Yellow soft paraffin	300.000mg/1.000gram + 300.000mg/1.000gram		3000000
636841000033118	3.80571E+15	Glycerol 40% cream	Glycerol 40% cream	Cream	Cutaneous	Glycerol	400.000mg/1.000gram	13020100	6000
729141000033110	3.66111E+14	Hydromol 2.5% cream (Alliance Pharmaceuticals Ltd)	Hydromol 2.5% cream	Cream	Cutaneous	Isopropyl myristate/ Liquid paraffin/ Sodium lactate/ Sodium pidolate	50.000mg/1.000gram + 100.000mg/1.000gram + 10.000mg/1.000gram + 25.000mg/1.000gram		700000
733441000033115	1.46135E+16	Hydrous wool fat	Hydrous wool fat	Ointment	Cutaneous	Wool fat	350.000mg/1.000gram	13010100	2000
739441000033117	1.46096E+16	Hydrous ointment	Hydrous ointment	Ointment	Cutaneous	Magnesium sulfate dried/ Phenoxyethanol/ Wool alcohols ointment	5.000mg/1.000gram + 10.000mg/1.000gram + 500.000mg/1.000gram	13020100	600000
739941000033110		Hydrous Wool Fat  Ointment							2000
740141000033116	3.00421E+15	Hydromol Bath & Shower emollient (Alliance Pharmaceuticals Ltd)	Hydromol Bath & Shower emollient	Bath additive	Cutaneous	Isopropyl myristate/ Liquid paraffin light	130.000mg/1.000ml + 378.000mg/1.000ml		600000
752141000033117	4.27951E+15	Imuderm cream (Mercury Pharma Group Ltd)	Imuderm cream	Cream					2000
756241000033111		Infaderm  Bath emollient							4000
796041000033113	8.03661E+15	Kamillosan Chamomile 10.5% ointment (Omega Pharma Ltd)	Kamillosan Chamomile 10.5% ointment	Ointment	Cutaneous	Chamomile extract	105.000mg/1.000gram		60000
801441000033111	3.06151E+15	Keri Therapeutic lotion (Bristol-Myers Squibb Pharmaceuticals Ltd)	Keri Therapeutic lotion	Liquid	Cutaneous	Liquid paraffin	160.000mg/1.000ml		80000
812141000033113	3.87131E+15	LactiCare lotion (Stiefel Laboratories (UK) Ltd)	LactiCare lotion	Liquid	Cutaneous	Lactic acid/ Sodium pidolate	50.000mg/1.000ml + 25.000mg/1.000ml		9000
828241000033114	3.75921E+15	Lipobase cream (Karo Pharma)	Lipobase cream	Cream	Cutaneous				50000
834141000033112	3.48621E+15	Liquid paraffin light 70% gel	Liquid paraffin light 70% gel	Gel	Cutaneous	Liquid paraffin light	700.000mg/1.000gram	13020101	200000
958941000033113	3.78961E+15	Neutrogena Norwegian Formula 40% dermatological cream (Johnson & Johnson Ltd)	Neutrogena Norwegian Formula 40% dermatological cream	Cream	Cutaneous	Glycerol	400.000mg/1.000gram		60000
1002841000033116	3.55611E+14	Oilatum Plus bath additive (Thornton & Ross Ltd)	Oilatum Plus bath additive	Bath additive	Cutaneous	Benzalkonium chloride/ Liquid paraffin light/ Triclosan	60.000mg/1.000gram + 525.000mg/1.000gram + 20.000mg/1.000gram		2000000
1003041000033119	1.59411E+14	Oilatum Emollient (Thornton & Ross Ltd)	Oilatum Emollient	Bath additive	Cutaneous	Liquid paraffin light	634.000mg/1.000ml		6000000
1036141000033117	1.46095E+16	White soft paraffin solid	White soft paraffin solid	Ointment	Cutaneous	White soft paraffin	1.000mg/1.000mg	13020100	300000
1036241000033112	1.46112E+16	Yellow soft paraffin solid	Yellow soft paraffin solid	Ointment	Cutaneous	Yellow soft paraffin	1.000mg/1.000mg	13020100	40000
1101741000033110	3.64641E+15	Polytar Emollient (GlaxoSmithKline Consumer Healthcare UK Ltd)	Polytar Emollient	Bath additive	Cutaneous	Arachis oil extract of crude coal tar/ Cade oil/ Coal tar solution/ Liquid paraffin light/ Pine tar	75.000mg/1.000gram + 75.000mg/1.000gram + 25.000mg/1.000gram + 350.000mg/1.000gram + 75.000mg/1.000gram		100000
1207841000033113		Savlon  Bath emollient							1000
1390141000033111	8.04511E+14	Sudocrem antiseptic healing cream (Teva UK Ltd)	Sudocrem antiseptic healing cream	Cream	Cutaneous	Benzyl alcohol/ Benzyl benzoate/ Benzyl cinnamate/ Wool fat hydrous/ Zinc oxide	3.900mg/1.000gram + 10.100mg/1.000gram + 1.500mg/1.000gram + 40.000mg/1.000gram + 152.500mg/1.000gram		3000000
1482741000033118	3.64141E+15	Ultrabase cream (Derma UK Ltd)	Ultrabase cream	Cream	Cutaneous				400000
1499141000033110	3.74491E+15	Vaseline Dermacare cream (Unilever UK Home & Personal Care)	Vaseline Dermacare cream	Cream	Cutaneous	Dimeticone/ White soft paraffin	10.000mg/1.000ml + 150.000mg/1.000ml		20000
1502341000033110	3.82381E+15	Vaseline Dermacare lotion (Unilever UK Home & Personal Care)	Vaseline Dermacare lotion	Not applicable					10000
1531141000033111	6.96111E+14	E45 emollient wash cream (Karo Pharma)	E45 emollient wash cream	Wash					300000
1601241000033115	4.20611E+14	Dermol 200 shower emollient (Dermal Laboratories Ltd)	Dermol 200 shower emollient	Liquid	Cutaneous	Benzalkonium chloride/ Chlorhexidine hydrochloride/ Isopropyl myristate/ Liquid paraffin	1.000mg/1.000gram + 1.000mg/1.000gram + 25.000mg/1.000gram + 25.000mg/1.000gram		2000000
1604041000033113	1.67211E+14	E45 lotion (Karo Pharma)	E45 lotion	Liquid					300000
1626441000033119	3.48611E+15	Liquid paraffin light 63.4% bath additive	Liquid paraffin light 63.4% bath additive	Bath additive	Cutaneous	Liquid paraffin light	634.000mg/1.000ml	13020101	900000
1661041000033110		Oilatum  Emollient (Fragrance Free)  63.4 %							60000
1804741000033119	3.48841E+15	Unguentum M cream (Almirall Ltd)	Unguentum M cream	Cream	Cutaneous				800000
1843441000033117	9.19911E+14	Dermol 600 bath emollient (Dermal Laboratories Ltd)	Dermol 600 bath emollient	Bath additive	Cutaneous	Benzalkonium chloride/ Isopropyl myristate/ Liquid paraffin	5.000mg/1.000gram + 250.000mg/1.000gram + 250.000mg/1.000gram		1000000
2156541000033116	3.96641E+15	Decubal Clinic cream (Actavis UK Ltd)	Decubal Clinic cream	Cream	Cutaneous	Dimeticone/ Glycerol/ Isopropyl myristate/ Wool fat	50.000mg/1.000gram + 100.000mg/1.000gram + 170.000mg/1.000gram + 60.000mg/1.000gram		2000
2160241000033111	3.97941E+15	Dermalo bath emollient (Dermal Laboratories Ltd)	Dermalo bath emollient	Bath additive	Cutaneous	Acetylated wool alcohols/ Liquid paraffin	50.000mg/1.000gram + 650.000mg/1.000gram		200000
2160341000033118	1.14873E+16	E45 Sun moisturising lotion SPF 15 (Reckitt Benckiser Healthcare (UK) Ltd)	E45 Sun moisturising lotion SPF 15	Liquid					4000
2183841000033118		Ashbourne Emollient Medicinal  Bath oil  250 ml							3000
2183941000033114		Ashbourne Emollient Medicinal  Bath oil  500 ml							5000
2185741000033110	331384006	White soft paraffin 50% / Liquid paraffin 50% ointment	White soft paraffin 50% / Liquid paraffin 50% ointment	Ointment	Cutaneous	Liquid paraffin/ White soft paraffin	500.000mg/1.000gram + 500.000mg/1.000gram	13020100	1000000
2216341000033117		Liquid Paraffin  Emollient  63.4 %							40
2267341000033116	2.98511E+15	Oilatum cream (Thornton & Ross Ltd)	Oilatum cream	Cream	Cutaneous	Liquid paraffin light/ White soft paraffin	60.000mg/1.000gram + 150.000mg/1.000gram		2000000
2276141000033113	2.91551E+15	The 50:50 Ointment (The Boots Company Plc)	The 50:50 Ointment	Ointment	Cutaneous	Liquid paraffin/ White soft paraffin	500.000mg/1.000gram + 500.000mg/1.000gram		10000
2280141000033115	2.99331E+15	Oilatum Junior cream (Thornton & Ross Ltd)	Oilatum Junior cream	Cream		Liquid paraffin light/ White soft paraffin	60.000mg/1.000gram + 150.000mg/1.000gram		300000
2294941000033110	3.64121E+15	Doublebase gel (Dermal Laboratories Ltd)	Doublebase gel	Gel	Cutaneous	Isopropyl myristate/ Liquid paraffin	150.000mg/1.000gram + 150.000mg/1.000gram		4000000
2295041000033110		Doublebase  Gel (Pump Dispenser)							3000000
2589641000033113	4.00561E+15	Hewletts cream (Kestrel Healthcare Ltd)	Hewletts cream	Cream	Cutaneous	Wool fat hydrous/ Zinc oxide	40.000mg/1.000gram + 81.000mg/1.000gram		1000
2639141000033115	1.35805E+16	Lotil cream (Fenton Pharmaceuticals Ltd)	Lotil cream	Not applicable					4000
2641641000033110	4.50211E+14	Aveeno lotion (Johnson & Johnson Ltd)	Aveeno lotion	Not applicable					600000
2711141000033115		Cetraben Emollient  Cream (Pump Dispenser)							20
2735941000033113	7.55741E+15	Exorex moisturising cream (Teva UK Ltd)	Exorex moisturising cream	Not applicable					40000
2750641000033112		Cetraben Emollient  Cream							2000000
2757841000033114	4.27761E+15	Allergenics emollient cream (Optima Consumer Health Ltd)	Allergenics emollient cream	Cream					4000
2759341000033113	4.27541E+15	E45 emollient shower cream (Karo Pharma)	E45 emollient shower cream	Wash					100000
2800041000033112		Bioxtra  Moisturising Gel							30000
2804141000033119	1.81594E+16	Propolis cream (Bee Health Ltd)	Propolis cream	Cream					90
2867141000033111	1.17826E+16	QV cream (Crawford Healthcare Ltd)	QV cream	Cream	Cutaneous	Glycerol/ Liquid paraffin light/ White soft paraffin	100.000mg/1.000gram + 100.000mg/1.000gram + 50.000mg/1.000gram		200000
2867241000033116	1.17817E+16	QV 5% skin lotion (Crawford Healthcare Ltd)	QV 5% skin lotion	Liquid	Cutaneous	White soft paraffin	50.000mg/1.000gram		10000
2904941000033114	3.60662E+16	Evening primrose oil 20% cream	Evening primrose oil 20% cream	Cream	Cutaneous	Evening primrose oil	200.000mg/1.000gram	13020100	4000
2922441000033118	3.50181E+15	Sodium pidolate 2.5% cream	Sodium pidolate 2.5% cream	Cream	Cutaneous	Isopropyl myristate/ Liquid paraffin/ Sodium lactate/ Sodium pidolate	50.000mg/1.000gram + 100.000mg/1.000gram + 10.000mg/1.000gram + 25.000mg/1.000gram	13020100	20000
2925941000033118	3.70141E+15	White soft paraffin 10% spray	White soft paraffin 10% spray	Spray	Cutaneous	White soft paraffin	100.000mg/1.000gram	13020100	5000
2926441000033119	4.36601E+15	Hydromol ointment (Alliance Pharmaceuticals Ltd)	Hydromol ointment	Ointment		Emulsifying wax/ Yellow soft paraffin	300.000mg/1.000gram + 300.000mg/1.000gram		2000000
2967741000033116	4.27881E+15	Eucerin Dry Skin Relief bath therapy oil (Beiersdorf UK Ltd)	Eucerin Dry Skin Relief bath therapy oil	Bath additive					3000
2970341000033110	2.88571E+15	Vaseline Pure Petroleum jelly (Unilever UK Home & Personal Care)	Vaseline Pure Petroleum jelly	Ointment	Cutaneous	White soft paraffin	1.000mg/1.000mg		30000
2990441000033113	8.09851E+15	Liquid paraffin light 82.8% bath additive	Liquid paraffin light 82.8% bath additive	Bath additive	Cutaneous	Liquid paraffin light	828.000mg/1.000gram	13020101	60000
2990541000033114	8.09311E+15	Cetraben emollient 82.8% bath additive (Genus Pharmaceuticals Ltd)	Cetraben emollient 82.8% bath additive	Bath additive	Cutaneous	Liquid paraffin light	828.000mg/1.000gram		300000
2996141000033115	8.42171E+15	Eumobase cream (GlaxoSmithKline Consumer Healthcare UK Ltd)	Eumobase cream	Not applicable					6000
3058941000033111	9.38771E+15	Lansinoh Brand Lanolin ointment (Lansinoh (UK) Ltd)	Lansinoh Brand Lanolin ointment	Ointment		Wool fat	1.000mg/1.000mg		30000
3134841000033118		Prostaglandin E1 0.00093 % In White Soft Paraffin  Ointment							8
3152341000033117	7.64661E+15	Zerobase 11% cream (Thornton & Ross Ltd)	Zerobase 11% cream	Cream	Cutaneous	Liquid paraffin	110.000mg/1.000gram		2000000
3216841000033118	1.96297E+16	Derma Shield skin protector mousse (Benchmark Skincare Ltd)	Derma Shield skin protector mousse	Foam					1000
3231041000033114	3.48651E+15	Liquid paraffin 91.7% / Lanolin 3% bath oil	Liquid paraffin 91.7% / Lanolin 3% bath oil	Bath additive	Cutaneous	Lanolin oil/ Liquid paraffin	30.000mg/1.000gram + 917.000mg/1.000gram	13020101	1000
3232241000033112	3.37621E+15	White soft paraffin 13.2% / Liquid paraffin light 10.5% cream	White soft paraffin 13.2% / Liquid paraffin light 10.5% cream	Cream	Cutaneous	Liquid paraffin light/ White soft paraffin	105.000mg/1.000gram + 132.000mg/1.000gram	13020100	400000
3232341000033119		White Soft Paraffin And Liquid Paraffin Light  Cream (Pump Dispenser)  13.2 % + 10.5 %							400000
3232641000033110	3.77641E+15	Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil	Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil	Bath additive	Cutaneous	Acetylated wool alcohols/ Liquid paraffin	50.000mg/1.000gram + 650.000mg/1.000gram	13020101	10000
3232741000033118	3.48601E+15	Liquid paraffin light 46% / Isopropyl myristate 39% bath emollient	Liquid paraffin light 46% / Isopropyl myristate 39% bath emollient	Bath additive	Cutaneous	Isopropyl myristate/ Liquid paraffin light	390.000mg/1.000gram + 460.000mg/1.000gram	13020101	20000
3232841000033111	3.65531E+15	Isopropyl myristate 15% / Liquid paraffin 15% gel	Isopropyl myristate 15% / Liquid paraffin 15% gel	Gel	Cutaneous	Isopropyl myristate/ Liquid paraffin	150.000mg/1.000gram + 150.000mg/1.000gram	13020100	400000
3256941000033115	1.31313E+16	Flexitol 25% Urea Heel Balm (Thornton & Ross Ltd)	Flexitol 25% Urea Heel Balm						700000
3257141000033115	3.48591E+15	Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive	Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive	Bath additive	Cutaneous	Isopropyl myristate/ Liquid paraffin light	130.000mg/1.000ml + 378.000mg/1.000ml	13020101	30000
3257241000033110	3.77591E+15	Liquid paraffin light 69.6% / Almond oil 30% bath oil	Liquid paraffin light 69.6% / Almond oil 30% bath oil	Bath additive	Cutaneous	Almond oil/ Liquid paraffin light	300.000mg/1.000ml + 696.000mg/1.000ml	13020101	1000
3257441000033111	3.87571E+15	Lactic acid 5% / Sodium pidolate 2.5% lotion	Lactic acid 5% / Sodium pidolate 2.5% lotion	Liquid	Cutaneous	Lactic acid/ Sodium pidolate	50.000mg/1.000ml + 25.000mg/1.000ml	13020100	30
3258141000033116	3.37631E+15	White soft paraffin 15% / Liquid paraffin light 6% cream	White soft paraffin 15% / Liquid paraffin light 6% cream	Cream	Cutaneous	Liquid paraffin light/ White soft paraffin	60.000mg/1.000gram + 150.000mg/1.000gram	13020100	100000
3258241000033111		"White Soft Paraffin And Liquid Paraffin Light  Cream (Pump Dispenser)  15 % + 6 %, 500 ml"							30000
3259741000033114	3.75461E+15	White soft paraffin 15% / Dimeticone 1% cream	White soft paraffin 15% / Dimeticone 1% cream	Cream	Cutaneous	Dimeticone/ White soft paraffin	10.000mg/1.000ml + 150.000mg/1.000ml	13020100	200
3836341000033111	7.53831E+15	Allergenics Skin lotion (Optima Consumer Health Ltd)	Allergenics Skin lotion	Cutaneous emulsion					900
3866341000033115	7.53911E+15	Oilatum lotion (GlaxoSmithKline Consumer Healthcare UK Ltd)	Oilatum lotion	Cutaneous emulsion					10000
3924041000033112	7.52341E+15	AquaBar (Strides Pharma UK Ltd)	AquaBar	Not applicable					600
3951241000033118	7.53861E+15	Eucerin Dry Skin Relief soothing spray (Beiersdorf UK Ltd)	Eucerin Dry Skin Relief soothing spray	Cutaneous emulsion					700
3983041000033116	1.0901E+16	Menthol 0.5% in Aqueous cream	Menthol 0.5% in Aqueous cream	Cream	Cutaneous	Menthol	5.000mg/1.000gram	13030000	50000
3983141000033117	1.09011E+16	Menthol 1% in Aqueous cream	Menthol 1% in Aqueous cream	Cream	Cutaneous	Menthol	10.000mg/1.000gram	13030000	100000
3983241000033112	1.09012E+16	Menthol 2% in Aqueous cream	Menthol 2% in Aqueous cream	Cream	Cutaneous	Menthol	20.000mg/1.000gram	13030000	50000
4125441000033117	1.10539E+16	Aveeno Skin Relief moisturising lotion with shea butter (Johnson & Johnson Ltd)	Aveeno Skin Relief moisturising lotion with shea butter	Cutaneous emulsion					80000
4128341000033119	1.13495E+16	SensiCare emollient cream (ConvaTec Ltd)	SensiCare emollient cream	Cream					700
4133441000033116	8.17431E+15	E45 Junior foaming bath milk (Karo Pharma)	E45 Junior foaming bath milk	Bath additive					20000
4149741000033112		Liquid Paraffin And Isopropyl Myristate  Emollient Shower Gel  15 % + 15 %							20000
4150041000033118	1.14976E+16	Doublebase emollient shower gel (Dermal Laboratories Ltd)	Doublebase emollient shower gel	Gel	Cutaneous	Isopropyl myristate/ Liquid paraffin	150.000mg/1.000gram + 150.000mg/1.000gram		300000
4186941000033111	4.61711E+15	Linola Gamma 20% cream (Linderma Ltd)	Linola Gamma 20% cream	Cream	Cutaneous	Evening primrose oil	200.000mg/1.000gram		700
4211841000033112	1.17885E+16	White soft paraffin 5% lotion	White soft paraffin 5% lotion	Liquid	Cutaneous	White soft paraffin	50.000mg/1.000gram	21220000	3000
4215441000033111		Emollin  Emollient Spray  240 ml							2000
4267541000033119	7.66111E+15	Liquid paraffin 11% cream	Liquid paraffin 11% cream	Cream	Cutaneous	Liquid paraffin	110.000mg/1.000gram	21220000	60000
4327441000033117	1.27977E+16	Glycerol 25% cream	Glycerol 25% cream	Cream	Cutaneous	Glycerol	250.000mg/1.000gram	13020100	2000
4327741000033112	1.27914E+16	Eumocream 25% cream (GlaxoSmithKline Consumer Healthcare UK Ltd)	Eumocream 25% cream	Cream	Cutaneous	Glycerol	250.000mg/1.000gram		7000
4372541000033117	7.55161E+15	Boots Baby Sensitive Skin moisturising cream (The Boots Company Plc)	Boots Baby Sensitive Skin moisturising cream	Not applicable					30
4431341000033110	1.31742E+16	Liquid paraffin 65% bath additive	Liquid paraffin 65% bath additive	Bath additive	Cutaneous	Liquid paraffin	650.000mg/1.000gram	13020101	20000
4431441000033116	1.31418E+16	Doublebase emollient bath additive (Dermal Laboratories Ltd)	Doublebase emollient bath additive	Bath additive	Cutaneous	Liquid paraffin	650.000mg/1.000gram		100000
4433841000033117	2.98363E+16	Elave Intensive cream (Ovelle Pharmaceuticals)	Elave Intensive cream						80
4433941000033113	2.78897E+16	Elave body wash (Ovelle Pharmaceuticals)	Elave body wash	Wash					200
4560841000033111	1.38227E+16	Dexeryl cream (Pierre Fabre Dermo-Cosmetique)	Dexeryl cream	Cream					10000
4576341000033110	5.24221E+15	Wool fat solid	Wool fat solid	Not applicable	Route of administration not applicable	Wool fat	1.000mg/1.000ml	13010100	20
4656041000033117		Dermaveen  Moisturising Lotion							6
4828141000033110	2.0563E+16	Flexitol Hand Balm (Thornton & Ross Ltd)	Flexitol Hand Balm						20000
4901741000033116	1.49982E+16	Epaderm cream (Molnlycke Health Care Ltd)	Epaderm cream	Cream					2000000
4936241000033113	1.46942E+16	Zerolatum Emollient bath additive (Thornton & Ross Ltd)	Zerolatum Emollient bath additive	Bath additive	Cutaneous	Acetylated wool alcohols/ Liquid paraffin	50.000mg/1.000gram + 650.000mg/1.000gram		70000
5054741000033110	1.54216E+16	Zerolatum Plus bath additive (Thornton & Ross Ltd)	Zerolatum Plus bath additive	Bath additive	Cutaneous	Benzalkonium chloride/ Liquid paraffin light/ Triclosan	60.000mg/1.000gram + 525.000mg/1.000gram + 20.000mg/1.000gram		1000
5054841000033117		White Soft Paraffin And Liquid Paraffin Light  Cream  14.5 % + 12.6 %							10
5054941000033113	1.4734E+16	Zerocream (Thornton & Ross Ltd)	Zerocream	Cream	Cutaneous	Liquid paraffin/ White soft paraffin	126.000mg/1.000gram + 145.000mg/1.000gram		1000000
5055441000033116	1.47431E+16	White soft paraffin 14.5% / Liquid paraffin 12.6% cream	White soft paraffin 14.5% / Liquid paraffin 12.6% cream	Cream	Cutaneous	Liquid paraffin/ White soft paraffin	126.000mg/1.000gram + 145.000mg/1.000gram	21220000	40000
5069241000033113	7.64441E+15	Dermol cream (Dermal Laboratories Ltd)	Dermol cream	Cream	Cutaneous	Benzalkonium chloride/ Chlorhexidine hydrochloride/ Isopropyl myristate/ Liquid paraffin	1.000mg/1.000gram + 1.000mg/1.000gram + 100.000mg/1.000gram + 100.000mg/1.000gram		1000000
5077541000033114	1.54416E+16	Doublebase emollient wash gel (Dermal Laboratories Ltd)	Doublebase emollient wash gel	Gel	Cutaneous	Isopropyl myristate/ Liquid paraffin	150.000mg/1.000gram + 150.000mg/1.000gram		80000
5078541000033110	1.18387E+16	Emollin aerosol spray (C D Medical Ltd)	Emollin aerosol spray	Spray					100000
5100841000033114	1.83488E+16	Aveeno body wash (Johnson & Johnson Ltd)	Aveeno body wash	Wash					300000
5108741000033118	1.55502E+16	Dermatonics Once Heel Balm (Dermatonics Ltd)	Dermatonics Once Heel Balm						200000
5150441000033118	1.70767E+16	Cetaphil moisturising lotion (Galderma (UK) Ltd)	Cetaphil moisturising lotion	Cutaneous emulsion					20000
5150541000033117	1.70765E+16	Cetaphil moisturising cream (Galderma (UK) Ltd)	Cetaphil moisturising cream	Not applicable					20000
5402741000033116	1.65961E+16	Vivaderm Ultra cream (Scarlett & George UK Ltd)	Vivaderm Ultra cream	Not applicable					20
5402841000033114	1.65959E+16	Vivaderm Daily cream (Scarlett & George UK Ltd)	Vivaderm Daily cream	Not applicable					30
5598941000033113	1.70842E+16	Evolve Plus emollient spray (Intelligent Therapeutics Ltd)	Evolve Plus emollient spray						100
5661941000033110	1.78816E+16	Zeroguent cream (Thornton & Ross Ltd)	Zeroguent cream	Cream	Cutaneous	Liquid paraffin light/ Soya oil/ White soft paraffin	80.000mg/1.000gram + 50.000mg/1.000gram + 40.000mg/1.000gram		20000
5835341000033110	1.75125E+16	Aveeno Intense Relief hand cream (Johnson & Johnson Ltd)	Aveeno Intense Relief hand cream	Cream					10000
5982441000033114	1.80057E+16	Aquamol cream (Thornton & Ross Ltd)	Aquamol cream	Cream					7000
6063941000033116	1.83491E+16	Aveeno moisturising creamy oil (Johnson & Johnson Ltd)	Aveeno moisturising creamy oil	Cream					30000
6115941000033111	1.85379E+16	Flexitol Skin Balm (Thornton & Ross Ltd)	Flexitol Skin Balm						20000
6126141000033113	1.86563E+16	Unique Deep Skin Moisturiser (SkinKind Ltd)	Unique Deep Skin Moisturiser	Not applicable					50
6126241000033118		Skinkind Deep Skin  Moisturiser							3
6172041000033112	1.87843E+16	ZeroAQS emollient cream (Thornton & Ross Ltd)	ZeroAQS emollient cream	Cream					900000
6184541000033119	1.91726E+16	Dermol Wash cutaneous emulsion (Dermal Laboratories Ltd)	Dermol Wash cutaneous emulsion	Liquid	Cutaneous	Benzalkonium chloride/ Chlorhexidine hydrochloride/ Isopropyl myristate/ Liquid paraffin	1.000mg/1.000gram + 1.000mg/1.000gram + 25.000mg/1.000gram + 25.000mg/1.000gram		100000
6361841000033110	1.92701E+16	Aquamax cream (Esteve Pharmaceuticals Ltd)	Aquamax cream	Cream					500000
6361941000033119	1.92704E+16	Aquamax wash (Esteve Pharmaceuticals Ltd)	Aquamax wash	Wash					40000
