"ProdCodeId","dmdid","Term from EMIS","ProductName","Formulation","RouteOfAdministration","DrugSubstanceName","SubstanceStrength","BNFChapter","DrugIssues"
"12172441000033118","25451911000001109","Glycopyrronium bromide 0.5% in Unguentum M cream (Special Order)","Glycopyrronium bromide 0.5% in Unguentum M cream","Cream","","Glycopyrronium bromide","5.000mg/1.000gram",,"7"
"12298041000033116",,"Yes Vm  Vaginal Moisturising Gel","","","","","",,"3000"
"12315541000033114","21195911000001103","Glycopyrronium bromide 1% in Cetomacrogol cream (Formula A)","Glycopyrronium bromide 1% in Cetomacrogol cream (Formula A)","Cream","Cutaneous","Glycopyrronium bromide","10.000mg/1.000gram","13120000","3"
"12367741000033112","30919711000001105","Coal tar 12% / Salicylic acid 3% in White soft paraffin","Coal tar 12% / Salicylic acid 3% in White soft paraffin","Ointment","Route of administration not applicable","Coal tar/ Salicylic acid","120.000mg/1.000gram + 30.000mg/1.000gram","13050200","20"
"12386041000033110","34708311000001106","Oralieve moisturising mouth spray (Oralieve UK)","Oralieve moisturising mouth spray","","","","",,"7000"
"12512041000033110",,"Feminesse  Vaginal Moisturiser","","","","","",,"200"
"12660241000033114","9354011000001109","ReplensMD vaginal moisturiser unit dose (Church & Dwight UK Ltd)","ReplensMD vaginal moisturiser unit dose","","","","",,"60000"
"12706541000033117","36447711000001102","YES VM vaginal moisturiser pre-filled applicators (The Yes Yes Company Ltd)","YES VM vaginal moisturiser pre-filled applicators","","","","",,"9000"
"12707141000033111","34459911000001100","YES VM vaginal moisturiser tube (The Yes Yes Company Ltd)","YES VM vaginal moisturiser tube","","","","",,"9000"
"13420141000033115","35252911000001103","Feminesse vaginal moisturiser tube (Crescent Pharma OTC Ltd)","Feminesse vaginal moisturiser tube","","","","",,"100"
"13420241000033110","37986411000001101","Feminesse vaginal moisturiser pre-filled applicators (Crescent Pharma OTC Ltd)","Feminesse vaginal moisturiser pre-filled applicators","","","","",,"80"
"13898341000033116","15223511000001104","Salicylic acid 10% in Emulsifying ointment","Salicylic acid 10% in Emulsifying ointment","Ointment","Route of administration not applicable","Salicylic acid","100.000mg/1.000gram","13070000","10"
